ID,Hotel Name,Location
1391,"The Ritz-Carlton, San Francisco","Providenciales, Turks And Caicos Islands"
1392,"The Ritz-Carlton, San Juan","Vienna, Austria"
1393,"The Ritz-Carlton, Santiago","Washington, District of Columbia, United States"
1394,"The Ritz-Carlton Sanya, Yalong Bay","London, United Kingdom"
1395,"The Ritz-Carlton, Sarasota","Navarino, Greece"
1396,"The Ritz-Carlton Shanghai, Pudong","Rome, Italy"
1397,"The Ritz-Carlton, South Beach","New Orleans, Louisiana, United States"
1398,"The Ritz-Carlton, St. Thomas","Nassau, Bahamas"
1399,"The Ritz-Carlton, Tokyo","Bath, United Kingdom"
1400,"The Ritz-Carlton, Toronto","Honolulu, Hawaii, United States"
1401,"The Ritz-Carlton, Turks & Caicos","Livingstone, Zambia"
1402,"The Ritz-Carlton, Vienna","Melbourne, Australia"
1403,"The Ritz-Carlton, Washington, D.C.","Kuala Lumpur, Malaysia"
1404,The Ritz London,"Windermere, United Kingdom"
1405,"The Romanos, a Luxury Collection Resort, Costa Navarino","Kiawah Island, South Carolina, United States"
1406,The Rome EDITION,"Sanya, China"
1407,"The Roosevelt New Orleans, A Waldorf Astoria Hotel","London, United Kingdom"
1408,The Royal at Atlantis,"Oceanside, California, United States"
1409,The Royal Crescent Hotel & Spa,"Vail, Colorado, United States"
1410,"The Royal Hawaiian, a Luxury Collection Resort, Waikiki","Miami Beach, Florida, United States"
1411,The Royal Livingstone Anantara,"Shanghai, China"
1412,The Royce,"Dublin, Ireland"
1413,The RuMa Hotel and Residences,"Providenciales, Turks And Caicos Islands"
1414,The Samling Hotel,"Bangkok, Thailand"
1415,The Sanctuary at Kiawah Island Golf Resort,"Cape Town, South Africa"
1416,The Sanya EDITION,"Puerto Natales, Chile"
1417,"The Savoy, London","La Fortuna, Costa Rica"
1418,The Seabird Ocean Resort & Spa,"Aspen, Colorado, United States"
1419,The Sebastian - Vail - A Timbers Resort,"Atlanta, Georgia, United States"
1420,"The Setai, Miami Beach","Rio Grande, Puerto Rico"
1421,The Shanghai EDITION,"Bal Harbour, Florida, United States"
1422,The Shelbourne,"Bali, Indonesia"
1423,The Shore Club Turks and Caicos,"Bangkok, Thailand"
1424,The Siam,"St. George, Bermuda"
1425,The Silo Hotel,"Bora Bora, French Polynesia"
1426,"The Singular Patagonia, Chile","Chicago, Illinois, United States"
1427,The Springs Resort and Spa at Arenal,"Park City, Utah, United States"
1428,The St. Regis Aspen Resort,"Doha, Qatar"
1429,The St. Regis Atlanta,"Florence, Italy"
1430,"The St. Regis Bahia Beach Resort, Puerto Rico","Hong Kong, China"
1431,The St. Regis Bal Harbour Resort,"Houston, Texas, United States"
1432,The St. Regis Bali Resort,"Istanbul, Turkey"
1433,The St. Regis Bangkok,"Riviera Maya, Mexico"
1434,The St. Regis Bermuda Resort,"Macau, China"
1435,The St. Regis Bora Bora Resort,"Dhaalu Atoll, Maldives"
1436,The St. Regis Chicago,"Mexico City, Mexico"
1437,The St. Regis Deer Valley,"New York, New York, United States"
1438,The St. Regis Doha,"Chuo-ku, Osaka, Japan"
1439,The St. Regis Florence,"Punta Mita, Mexico"
1440,The St. Regis Hong Kong,"Rome, Italy"
1441,The St. Regis Houston,"Abu Dhabi, United Arab Emirates"
1442,The St. Regis Istanbul,"San Francisco, California, United States"
1443,"The St. Regis Kanai Resort, Riviera Maya","Singapore, Singapore"
1444,The St. Regis Macao,"Toronto, Ontario, Canada"
1445,The St. Regis Maldives Vommuli Resort,"Venice, Italy"
1446,The St. Regis Mexico City,"Washington, District of Columbia, United States"
1447,The St. Regis New York,"London, United Kingdom"
1448,The St. Regis Osaka,"Bangkok, Thailand"
1449,The St. Regis Punta Mita Resort,"Shanghai, China"
1450,The St. Regis Rome,"New York, New York, United States"
1451,"The St. Regis Saadiyat Island Resort, Abu Dhabi","Mumbai, India"
1452,The St. Regis San Francisco,"Tampa, Florida, United States"
1453,The St. Regis Singapore,"Hobart, Australia"
1454,The St. Regis Toronto,"Chengdu, China"
1455,The St. Regis Venice,"New York, New York, United States"
1456,"The St. Regis Washington, DC","Tokyo, Japan"
1457,The Stafford London,"New York, New York, United States"
1458,The Sukhothai Bangkok,"Cape Town, South Africa"
1459,The Sukhothai Shanghai,"Hong Kong, China"
1460,"The Surrey, A Corinthia Hotel New York","San Diego, California, United States"
1461,"The Taj Mahal Palace, Mumbai","Tunuyán, Argentina"
1462,The Tampa EDITION,"Tel Aviv, Israel"
1463,"The Tasman, a Luxury Collection Hotel","Wakaya Island, Fiji"
1464,The Temple House,"Dublin, Ireland"
1465,The Times Square EDITION,"West Hollywood, California, United States"
1466,"The Tokyo EDITION, Toranomon","Florence, Italy"
1467,The Towers at Lotte New York Palace,"Rome, Italy"
1468,The Twelve Apostles Hotel & Spa,"Madrid, Spain"
1469,"The Upper House, Hong Kong","Atlanta, Georgia, United States"
1470,"THE US GRANT, a Luxury Collection Hotel, San Diego","New Orleans, Louisiana, United States"
1471,The Vines Resort & Spa,"Geneva, Switzerland"
1472,The Vista at Hilton Tel Aviv,"Vila Nova De Gaia, Portugal"
1473,The Wakaya Club & Spa,"Atlanta, Georgia, United States"
1474,The Westbury,"Dallas, Texas, United States"
1475,The West Hollywood EDITION,"Nashville, Tennessee, United States"
1476,"The Westin Excelsior, Florence","San Antonio, Texas, United States"
1477,"The Westin Excelsior, Rome","Savannah, Georgia, United States"
1478,"The Westin Palace, Madrid","Seattle, Washington, United States"
1479,"The Whitley, A Luxury Collection Hotel, Atlanta Buckhead","Zihuatanejo, Mexico"
1480,The Windsor Court,"Livingstone, Zambia"
1481,"The Woodward, Oetker Collection","Zuers am Arlberg, Austria"
1482,The Yeatman,"San Pedro de Atacama, Chile"
1483,Thompson Buckhead,"Puno, Peru"
1484,Thompson Dallas,"Lisbon, Portugal"
1485,Thompson Nashville,"Punta Cana, Dominican Republic"
1486,Thompson San Antonio - Riverwalk,"Boca Raton, Florida, United States"
1487,Thompson Savannah,"Phuket, Thailand"
1488,Thompson Seattle,"Amenia, New York, United States"
1489,Thompson Zihuatanejo,"Barnard, Vermont, United States"
1490,Thorntree River Lodge,"Itacaré, Brazil"
1491,Thurnhers Alpenhof,"Yala, Sri Lanka"
1492,Tierra Atacama,"Jodhpur, India"
1493,Titilaka - Relais & Chateaux,"Melbourne, Australia"
1494,Tivoli Avenida Liberdade Lisbon,"Cambridge, United Kingdom"
1495,Tortuga Bay Puntacana,"Trancoso, Brazil"
1496,Tower at The Boca Raton,"Lisbon, Portugal"
1497,Trisara,"Sintra, Portugal"
1498,Troutbeck,"Newport, Rhode Island, United States"
1499,Twin Farms,"Santorini, Greece"
1500,Txai Resort Itacare,"Sciacca, Italy"
1501,Uga Chena Huts,"Chicago, Illinois, United States"
1502,Umaid Bhawan Palace,"San José del Cabo, Mexico"
1503,United Places Botanic Gardens,"Playa del Carmen, Mexico"
1504,"University Arms Hotel, Autograph Collection","Snowmass Village, Colorado, United States"
1505,UXUA Casa Hotel & Spa,"Interlaken, Switzerland"
1506,Valverde Lisboa Hotel & Garden – Relais & Châteaux,"Vidago, Portugal"
1507,Valverde Sintra Palácio de Seteais,"Reggello, Italy"
1508,"Vanderbilt, Auberge Resorts Collection","San Vicente, Chile"
1509,"Vedema, a Luxury Collection Resort, Santorini","Lagoa, Portugal"
1510,"Verdura Resort, a Rocco Forte Hotel","Rome, Italy"
1511,Viceroy Chicago,"Saint-martin-de-ré, France"
1512,Viceroy Los Cabos,"Florence, Italy"
1513,Viceroy Riviera Maya,"Verona, Italy"
1514,Viceroy Snowmass,"Stockholm, Sweden"
1515,VICTORIA-JUNGFRAU Grand Hotel & Spa,"Cernobbio - Lake Como, Italy"
1516,Vidago Palace,"Dubrovnik, Croatia"
1517,Viesca Toscana,"Merano, Italy"
1518,Vik Chile,"Stresa, Italy"
1519,Vila Vita Parc,"Positano, Italy"
1520,Villa Agrippina Gran Melia,"Aix-en-Provence, France"
1521,Villa Clarisse & Spa,"Palermo, Italy"
1522,Villa Cora,"Orebic, Croatia"
1523,"Villa Cordevigo Wine Relais, Verona","Le Puy-Sainte-Réparade, France"
1524,Villa Dagmar,"Florence, Italy"
1525,Villa d'Este,"Guanajuato, Mexico"
1526,Villa Dubrovnik,"Žman, Croatia"
1527,Villa Eden - The Private Retreat,"Lugano, Switzerland"
1528,Villa e Palazzo Aminta,"Forte Dei Marmi, Italy"
1529,Villa Franca Positano,"Florence, Italy"
1530,Villa Gallici,"Taormina, Italy"
1531,"Villa Igiea, a Rocco Forte Hotel","Positano, Italy"
1532,Villa Korta Katarina,"Vila Nova De Gaia, Portugal"
1533,Villa La Coste,"Venice, Italy"
1534,Villa La Massa,"Dallas, Texas, United States"
1535,Villa Maria Cristina,"Nashville, Tennessee, United States"
1536,Villa Nai 3.3,"Flims, Switzerland"
1537,Villa Principe Leopoldo,"Buergenstock, Switzerland"
1538,Villa Roma Imperiale,"Amsterdam, Netherlands"
1539,"Villa San Michele, A Belmond Hotel, Florence","Atlanta, Georgia, United States"
1540,"Villa Sant'Andrea, A Belmond Hotel, Taormina Mare","Bangkok, Thailand"
1541,Villa Treville,"Berlin, Germany"
1542,Vinha Boutique Hotel,"Beverly Hills, California, United States"
1543,Violino d'Oro,"Cancún, Mexico"
1544,Virgin Hotels Dallas,"Chicago, Illinois, United States"
1545,Virgin Hotels Nashville,"Jerusalem, Israel"
1546,Waldhaus Flims Wellness Resort,"Las Vegas, Nevada, United States"
1547,Waldhotel Health & Medical Excellence,"Cabo San Lucas, Mexico"
1548,Waldorf Astoria Amsterdam,"Dana Point, California, United States"
1549,Waldorf Astoria Atlanta Buckhead,"Orlando, Florida, United States"
1550,Waldorf Astoria Bangkok,"Panama City, Panama"
1551,Waldorf Astoria Berlin,"Park City, Utah, United States"
1552,Waldorf Astoria Beverly Hills,"Shanghai, China"
1553,Waldorf Astoria Cancun,"Versailles, France"
1554,Waldorf Astoria Chicago,"Washington, District of Columbia, United States"
1555,Waldorf Astoria Jerusalem,"Xiamen, China"
1556,Waldorf Astoria Las Vegas,"Albufeira, Portugal"
1557,Waldorf Astoria Los Cabos Pedregal,"Aspen, Colorado, United States"
1558,Waldorf Astoria Monarch Beach,"Santa Rosa Beach, Florida, United States"
1559,Waldorf Astoria Orlando,"Austin, Texas, United States"
1560,Waldorf Astoria Panama,"Bali, Indonesia"
1561,Waldorf Astoria Park City,"Barcelona, Spain"
1562,Waldorf Astoria Shanghai on the Bund,"Doha, Qatar"
1563,Waldorf Astoria Versailles - Trianon Palace,"Vancouver, British Columbia, Canada"
1564,Waldorf Astoria Washington DC,"Chatham, Massachusetts, United States"
1565,Waldorf Astoria Xiamen,"Featherston, New Zealand"
1566,W Algarve,"Kennebunk, Maine, United States"
1567,W Aspen & The Sky Residences at W Aspen,"Apollonía, Greece"
1568,WaterColor Inn,"Ibiza, Spain"
1569,W Austin,"Zurich, Switzerland"
1570,W Bali Seminyak,"Gardiner, New York, United States"
1571,W Barcelona,"Washington, District of Columbia, United States"
1572,W Doha Hotel,"Morris, Connecticut, United States"
1573,Wedgewood Hotel & Spa,"New Orleans, Louisiana, United States"
1574,Wequassett Resort and Golf Club,"New York, New York, United States"
1575,Wharekauhau Country Estate,"Chuo-ku, Osaka, Japan"
1576,"White Barn Inn, Auberge Resorts Collection","Rome, Italy"
1577,White Pebble Suites,"Santiago, Chile"
1578,W Ibiza,"Miami Beach, Florida, United States"
1579,Widder Hotel,"Providenciales, Turks And Caicos Islands"
1580,"Wildflower Farms, Auberge Resorts Collection","Las Vegas, Nevada, United States"
1581,"Willard InterContinental Washington, DC","Macau, China"
1582,Winvian Farm,"Boston, Massachusetts, United States"
1583,W New Orleans - French Quarter,"Boca Raton, Florida, United States"
1584,W New York - Union Square,"San José del Cabo, Mexico"
1585,W Osaka,"Chobe River, Botswana"
1586,W Rome,"Anguilla, Anguilla"
1587,W Santiago,"Charleston, South Carolina, United States"
